Year,Deal date,Title,Author,Publisher (best-effort),Category,Content term(s),Deal ID,Deal URL
2019,6-Jun-19,THE WOLF AND THE WOODSMAN,Ava Reid,Voyager,Fiction: Debut,Jewish,252835,https://www.publishersmarketplace.com/deals/ss.cgi?d=252835
2019,11-Nov-19,TO ZENZI,Robert Shuster,New Issues,Fiction: Debut,Jewish,269890,https://www.publishersmarketplace.com/deals/ss.cgi?d=269890
2020,12-Oct-20,A SCHOOL FOR GERMAN BRIDES,Aimie Runyan,William Morrow,Fiction: General/Other,Jewish,306036,https://www.publishersmarketplace.com/deals/ss.cgi?d=306036
2020,18-Aug-20,AS SEEN ON TV,Meredith Schorr,Forever,Fiction: Romance,Jewish,299590,https://www.publishersmarketplace.com/deals/ss.cgi?d=299590
2020,10-Feb-20,CLEAN AIR,Sarah Blake,Algonquin,Fiction: General/Other,Jewish,278812,https://www.publishersmarketplace.com/deals/ss.cgi?d=278812
2020,17-Jan-20,HEDY'S WAR,Jenny Lecoat,Graydon House,Fiction: Debut,Jewish,276475,https://www.publishersmarketplace.com/deals/ss.cgi?d=276475
2020,10-Dec-20,ISAAC'S BEACON,David Robbins,Wicked Son,Fiction: General/Other,Israel,314025,https://www.publishersmarketplace.com/deals/ss.cgi?d=314025
2020,10-Jul-20,JERUSALEM BEACH and MRS. LILIENBLUM'S CLOUD FACTORY,Iddo Gefen,Astra House,Fiction: General/Other,Israel; Israeli,295717,https://www.publishersmarketplace.com/deals/ss.cgi?d=295717
2020,16-Nov-20,MADAM SECRETARY,Stephanie Dray,Berkley,Fiction: General/Other,Jewish,310755,https://www.publishersmarketplace.com/deals/ss.cgi?d=310755
2020,9-Dec-20,MY FIRST NOELLE,Helena Greer,Forever,Fiction: Romance,Jewish,313830,https://www.publishersmarketplace.com/deals/ss.cgi?d=313830
2020,28-Feb-20,untitled,Marie Benedict,Sourcebooks Landmark,Fiction: General/Other,Jewish,281347,https://www.publishersmarketplace.com/deals/ss.cgi?d=281347
2020,18-Feb-20,REASON TO KILL,Andy Weinberger,Prospect Park Books,Fiction: Mystery/Crime,Jewish,279952,https://www.publishersmarketplace.com/deals/ss.cgi?d=279952
2020,9-Sep-20,THE MAN WHO SOLD AIR IN THE HOLY LAND and THE GLASS GOLEM,Omer Friedlander,Random House,Fiction: Debut,Israeli,301521,https://www.publishersmarketplace.com/deals/ss.cgi?d=301521
2020,10-Dec-20,THE MATCHMAKER'S LIBRARY and THE LOVE ELIXIR OF AUGUSTA STERN,Lynda Cohen Loigman,St. Martin's,Fiction: General/Other,Jewish,313866,https://www.publishersmarketplace.com/deals/ss.cgi?d=313866
2020,11-Aug-20,THE MATZAH BALL,Jean Meltzer,Mira,Fiction: Romance,Jewish,298807,https://www.publishersmarketplace.com/deals/ss.cgi?d=298807
2020,3-Apr-20,THE MELANCHOLY DANE,Ronald Balson,St. Martin's,Fiction: General/Other,Jewish,284995,https://www.publishersmarketplace.com/deals/ss.cgi?d=284995
2020,10-Nov-20,THE SWORD OF DAVID,Charles Lichtman,Bombardier Books,Fiction: Thriller,Israeli,310248,https://www.publishersmarketplace.com/deals/ss.cgi?d=310248
2020,11-Aug-20,THE WARSAW ORPHAN,Kelly Rimmer,Graydon House,Fiction: Romance,Jewish,298774,https://www.publishersmarketplace.com/deals/ss.cgi?d=298774
2020,8-May-20,THOSE WHO ARE SAVED,Alexis Landau,Putnam,Fiction: General/Other,Jewish,289006,https://www.publishersmarketplace.com/deals/ss.cgi?d=289006
2020,27-Apr-20,VERY COLD PEOPLE,Sarah Manguso,Hogarth,Fiction: General/Other,Jewish,287557,https://www.publishersmarketplace.com/deals/ss.cgi?d=287557
2021,27-May-21,A CHAIN REACTION and THE AMSTERDAM CRECHE,Ronald Balson,St. Martin's,Fiction: General/Other,Jewish,335025,https://www.publishersmarketplace.com/deals/ss.cgi?d=335025
2021,21-Oct-21,A GROOM BY MIDNIGHT,Felicia Grossman,Forever,Fiction: Romance,Jewish,352986,https://www.publishersmarketplace.com/deals/ss.cgi?d=352986
2021,15-Jun-21,ALL-NIGHT PHARMACY,Ruth Madievsky,Catapult,Fiction: Debut,Jewish,337455,https://www.publishersmarketplace.com/deals/ss.cgi?d=337455
2021,17-Feb-21,BEAT THE DEVILS,Josh Weiss,Grand Central,Fiction: Debut,Jewish,321063,https://www.publishersmarketplace.com/deals/ss.cgi?d=321063
